Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
16-NOV-2015,17.6525,18.6075,15.2875,17.8775,17.6525,0.23,1.27
17-NOV-2015,17.8775,17.8775,15.6225,16.9725,17.8775,-0.91,-5.06
18-NOV-2015,16.9725,17.75,14.9025,17.415,16.9725,0.44,2.61
19-NOV-2015,17.415,17.415,14.42,15.84,17.415,-1.58,-9.04
20-NOV-2015,15.84,16.1375,13.83,15.8975,15.84,0.06,0.36
23-NOV-2015,15.8975,17.555,15.775,17.075,15.8975,1.18,7.41
24-NOV-2015,17.075,17.075,15.6525,16.245,17.075,-0.83,-4.86
26-NOV-2015,16.245,16.785,15.085,16.6875,16.245,0.44,2.72
27-NOV-2015,16.6875,16.98,16.17,16.73,16.6875,0.04,0.25
30-NOV-2015,16.73,17.235,15.8525,16.43,16.73,-0.30,-1.79
01-DEC-2015,16.43,16.43,15.525,15.635,16.43,-0.80,-4.84
02-DEC-2015,15.635,15.9825,14.725,15.4875,15.635,-0.15,-0.94
03-DEC-2015,15.4875,16.155,15.1175,16.055,15.4875,0.57,3.66
04-DEC-2015,16.055,16.55,15.5625,16.085,16.055,0.03,0.19
07-DEC-2015,16.085,16.3625,15.79,15.865,16.085,-0.22,-1.37
08-DEC-2015,15.865,16.2425,15.47,15.9725,15.865,0.11,0.68
09-DEC-2015,15.9725,16.9175,15.37,16.725,15.9725,0.75,4.71
10-DEC-2015,16.725,16.725,15.4625,16.2925,16.725,-0.43,-2.59
11-DEC-2015,16.2925,17.77,15.0375,17.1825,16.2925,0.89,5.46
14-DEC-2015,17.1825,18.365,16.46,17.7975,17.1825,0.62,3.58
15-DEC-2015,17.7975,18.355,16.1125,17.3425,17.7975,-0.46,-2.56
16-DEC-2015,17.3425,17.3425,14.905,16.7275,17.3425,-0.62,-3.55
17-DEC-2015,16.7275,16.7275,14.0225,14.215,16.7275,-2.51,-15.02
18-DEC-2015,14.215,14.705,13.0375,14.4925,14.215,0.28,1.95
21-DEC-2015,14.4925,14.9775,12.98,14.225,14.4925,-0.27,-1.85
22-DEC-2015,14.225,14.605,12.225,14.4825,14.225,0.26,1.81
23-DEC-2015,14.4825,14.4825,12.625,13.6525,14.4825,-0.83,-5.73
24-DEC-2015,13.6525,13.94,11.2025,13.745,13.6525,0.09,0.68
28-DEC-2015,13.745,14.525,10.375,14.4025,13.745,0.66,4.78
29-DEC-2015,14.4025,14.71,13.3325,14.235,14.4025,-0.17,-1.16
30-DEC-2015,14.235,14.495,12.7825,14.35,14.235,0.12,0.81
31-DEC-2015,14.35,14.4875,12.9825,13.87,14.35,-0.48,-3.34
