"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","26 Aug 2010","5462.10","5486.55","5454.70","5477.90"
"NIFTY 50","25 Aug 2010","5505.30","5506.15","5452.55","5462.35"
"NIFTY 50","24 Aug 2010","5541.10","5547.25","5488.45","5505.10"
"NIFTY 50","23 Aug 2010","5531.15","5549.80","5519.40","5543.50"
"NIFTY 50","20 Aug 2010","5540.80","5546.60","5513.35","5530.65"
"NIFTY 50","19 Aug 2010","5478.25","5544.70","5478.10","5540.20"
"NIFTY 50","18 Aug 2010","5416.25","5487.95","5416.25","5479.15"
"NIFTY 50","17 Aug 2010","5422.15","5443.55","5408.80","5414.15"
"NIFTY 50","16 Aug 2010","5452.10","5465.25","5397.40","5418.30"
"NIFTY 50","13 Aug 2010","5420.65","5476.50","5415.50","5452.10"
"NIFTY 50","12 Aug 2010","5418.70","5431.10","5372.45","5416.45"
"NIFTY 50","11 Aug 2010","5460.70","5474.60","5412.00","5420.60"
"NIFTY 50","10 Aug 2010","5486.80","5491.45","5445.35","5460.70"
"NIFTY 50","09 Aug 2010","5439.80","5492.30","5433.25","5486.15"
"NIFTY 50","06 Aug 2010","5448.25","5471.90","5431.35","5439.25"
"NIFTY 50","05 Aug 2010","5470.15","5487.15","5443.10","5447.10"
"NIFTY 50","04 Aug 2010","5441.35","5481.90","5428.40","5467.85"
"NIFTY 50","03 Aug 2010","5432.50","5459.20","5426.40","5439.55"
"NIFTY 50","02 Aug 2010","5369.55","5438.85","5351.30","5431.65"
"NIFTY 50","30 Jul 2010","5408.40","5413.25","5349.20","5367.60"
"NIFTY 50","29 Jul 2010","5397.85","5415.85","5381.55","5408.90"
"NIFTY 50","28 Jul 2010","5436.10","5447.85","5386.25","5397.55"
"NIFTY 50","27 Jul 2010","5420.20","5450.95","5407.20","5430.60"
"NIFTY 50","26 Jul 2010","5446.55","5466.25","5409.20","5418.60"
"NIFTY 50","23 Jul 2010","5441.90","5477.50","5435.15","5449.10"
"NIFTY 50","22 Jul 2010","5399.15","5447.15","5372.20","5441.95"
"NIFTY 50","21 Jul 2010","5368.85","5409.10","5368.85","5399.35"
"NIFTY 50","20 Jul 2010","5387.00","5416.45","5353.60","5368.00"
"NIFTY 50","19 Jul 2010","5392.70","5409.10","5361.50","5386.45"
"NIFTY 50","16 Jul 2010","5376.65","5401.35","5374.40","5393.90"
"NIFTY 50","15 Jul 2010","5387.10","5399.20","5360.60","5378.75"
"NIFTY 50","14 Jul 2010","5402.00","5453.45","5371.70","5386.15"
"NIFTY 50","13 Jul 2010","5370.20","5406.20","5357.85","5400.65"
"NIFTY 50","12 Jul 2010","5352.25","5402.70","5351.60","5383.00"
"NIFTY 50","09 Jul 2010","5297.20","5359.05","5297.20","5352.45"
"NIFTY 50","08 Jul 2010","5242.00","5320.50","5242.00","5296.85"
"NIFTY 50","07 Jul 2010","5293.10","5296.75","5233.45","5241.10"
"NIFTY 50","06 Jul 2010","5236.10","5297.45","5231.50","5289.05"
"NIFTY 50","05 Jul 2010","5237.00","5252.75","5225.85","5235.90"
"NIFTY 50","02 Jul 2010","5251.25","5277.25","5225.60","5237.10"
"NIFTY 50","01 Jul 2010","5312.05","5312.55","5232.10","5251.40"
